round,jenny,jessica,adjudication
1,0.965917501,0.957469467,0.95216513
2,0.973242704,0.964169687,0.964152832
3,0.142857143,0.142857143,0.142857143
4,0.98530727,0.988100707,0.988204137
5,0.994513943,0.99452577,0.994543355
6,0.963413716,0.963327564,0.963475029
7,0.98095324,0.980922297,0.980846625
8,0.984553105,0.982956983,0.983036912
9,0.98191512,0.985014949,0.982016242
10,0.958281387,0.962393749,0.962393749
11,0.972702929,0.970149405,0.970225123
12,0.986215869,0.98612368,0.986254409
13,0.98041396,0.984367932,0.972765703
