round,consult,pharmacy,discharge_summary,general,nursing,physician
1,0.888349515,0.98024055,0.99086619,0.906156543,0.928308824,0.972112862
2,0.956455309,1,0.987419336,0.992266336,0.985562633,0.976565436
3,1,0.970100651,0.982031406,0.973471702,0.966987294,0.969609735
4,0,1,0.991636151,0.990245068,0.930238846,0.965654696
5,0,1,0.991792366,0.985003092,0.964783746,0.98681992
6,0,0.956028369,0.992230837,0.963267049,0.964949053,0.981616387
7,0,1,0.993053091,0.988791594,1,0.977021678
8,0,1,0.993657988,0.94941932,0.983501601,0.972588725
9,0,0,0.99780623,0.985302413,0.995590004,0.985612133
10,0,0,0.989574352,0.986129515,1,0.986950394
11,0,0,0.994170054,0.9881901,1,0.986599921
12,0,0,0.98512483,0.97512332,1,0.993921489
13,0,0,0.99469785,0.949922535,0.956477444,0.98635619
