round,consult,pharmacy,discharge_summary,general,nursing,physician
1,0.899193548,0.981117231,0.993762064,0.908756219,0.964444444,0.978703351
2,1,1,0.993003684,0.986475736,0.964023571,0.891350578
3,1,0.97170574,0.987983301,0.97680002,0.964348397,0.97311539
4,0,1,0.998173135,0.985477486,0.940116722,0.976785327
5,0,1,1,0.990338483,0.977556148,0.992169789
6,0,0.928571429,0.987525324,0.971530291,0.981153701,0.982758804
7,0,1,0.998613299,1,1,0.982567423
8,0,1,0.995110416,0.950095596,0.979806713,0.977561511
9,0,0,0.997833183,0.980878121,0.996281394,0.988008398
10,0,0,0.992385547,0.991465466,1,0.987177473
11,0,0,0.995031293,0.994204504,1,0.987039133
12,0,0,0.995744091,0.99267594,1,0.994026605
13,0,0,0.992140448,0.947848294,0.973295264,0.997516317
